#mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
225.0	135.0	8.692823e-06	2.525031e-05	0.0007818553	5.870015e-07	4.30	4.05	3.16	4.86
250.0	100.0	0.003497812	0.002042585	0.02208544	0.0001395253	2.70	2.87	2.01	3.63
250.0	130.0	0.001025425	0.00124053	0.0153253	7.384628e-05	3.08	3.03	2.16	3.79
250.0	160.0	0.0001043473	0.0002693106	0.004881236	1.081336e-05	3.71	3.46	2.58	4.25
275.0	125.0	0.01242722	0.008048333	0.05879617	0.000826333	2.24	2.41	1.56	3.15
275.0	155.0	0.00587049	0.006346875	0.04977463	0.0006051225	2.52	2.49	1.65	3.24
275.0	185.0	0.001016693	0.002295608	0.02404278	0.0001620633	3.09	2.83	1.98	3.60
300.0	150.0	0.02971841	0.01938814	0.1075077	0.002659508	1.88	2.07	1.24	2.79
300.0	180.0	0.009902418	0.01250511	0.07978148	0.001479731	2.33	2.24	1.41	2.97
300.0	210.0	0.00505841	0.0095576	0.06626964	0.001036396	2.57	2.34	1.50	3.08
325.0	175.0	0.1071721	0.06991341	0.2475331	0.01549347	1.24	1.48	0.68	2.16
325.0	205.0	0.08357437	0.09104291	0.2913451	0.02252329	1.38	1.33	0.55	2.00
325.0	235.0	0.0135172	0.02475777	0.1266261	0.003699344	2.21	1.96	1.14	2.68
350.0	200.0	0.2525315	0.169744	0.4214257	0.05560165	0.67	0.96	0.20	1.59
350.0	230.0	0.1354102	0.1447069	0.3842682	0.04397099	1.10	1.06	0.29	1.71
350.0	260.0	0.03319927	0.05694138	0.2175817	0.01161985	1.84	1.58	0.78	2.27
375.0	225.0	0.3659733	0.2733207	0.5490968	0.1138671	0.34	0.60	-0.12	1.21
375.0	255.0	0.2433345	0.2402054	0.5119741	0.09350335	0.70	0.71	-0.03	1.32
375.0	285.0	0.07632492	0.1223722	0.3481494	0.03444932	1.43	1.16	0.39	1.82
400.0	250.0	0.4065581	0.3210069	0.5978947	0.1460027	0.24	0.46	-0.25	1.05
400.0	280.0	0.408145	0.4041067	0.6724946	0.2099145	0.23	0.24	-0.45	0.81
400.0	310.0	0.2098595	0.2690638	0.5444857	0.1111595	0.81	0.62	-0.11	1.22
